,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
2,2,1003,2019,3,3,21.88,-102.72,30.52585,9.16574,30.52585,9.16574,18.78622,18.78622
9,9,1004,2019,3,3,22.0,-102.2,29.66022,8.50507,29.66022,8.50507,18.25806,18.25806
16,16,1005,2019,3,3,21.78,-102.37,30.40143,9.28552,30.40143,9.28552,18.93912,18.93912
23,23,1007,2019,3,3,21.96,-102.35,30.06863,8.5947,30.06863,8.5947,18.44888,18.44888
30,30,1008,2019,3,3,22.2,-102.14,29.16211,8.44388,29.16211,8.44388,18.08191,18.08191
37,37,1009,2019,3,3,21.96,-102.7,30.39557,8.90802,30.39557,8.90802,18.61578,18.61578
44,44,1010,2019,3,3,22.16,-102.55,29.59415,8.3259,29.59415,8.3259,18.06937,18.06937
51,51,1011,2019,3,3,21.86,-102.66,30.4726,9.10709,30.4726,9.10709,18.7944,18.7944
58,58,1012,2019,3,3,21.79,-102.8,30.87378,9.72501,30.87378,9.72501,19.12347,19.12347
65,65,1013,2019,3,3,22.31,-102.17,28.91589,8.39362,28.91589,8.39362,17.96924,17.96924
72,72,1014,2019,3,3,22.17,-102.29,29.4151,8.33597,29.4151,8.33597,18.05209,18.05209
79,79,1015,2019,3,3,21.92,-101.97,29.19092,8.63556,29.19092,8.63556,18.17798,18.17798
86,86,1016,2019,3,3,21.71,-102.28,30.32993,9.54346,30.32993,9.54346,19.06689,19.06689
93,93,1017,2019,3,3,22.23,-102.44,29.24863,8.2348,29.24863,8.2348,17.89117,17.89117
100,100,1018,2019,3,3,22.14,-102.42,29.60565,8.30441,29.60565,8.30441,18.08743,18.08743
107,107,1019,2019,3,3,22.13,-102.36,29.60699,8.32605,29.60699,8.32605,18.10846,18.10846
114,114,1020,2019,3,3,22.0,-102.67,30.32492,8.76755,30.32492,8.76755,18.54169,18.54169
121,121,1021,2019,3,3,22.12,-102.51,29.72351,8.33163,29.72351,8.33163,18.13828,18.13828
128,128,1022,2019,3,3,21.75,-102.17,29.85535,9.20129,29.85535,9.20129,18.73206,18.73206
135,135,1023,2019,3,3,21.84,-102.71,30.57962,9.28464,30.57962,9.28464,18.8844,18.8844
142,142,1024,2019,3,3,21.78,-102.1,29.56531,9.00317,29.56531,9.00317,18.52869,18.52869
149,149,1025,2019,3,3,22.08,-102.27,29.63019,8.3858,29.63019,8.3858,18.17078,18.17078
156,156,1026,2019,3,3,22.22,-102.17,29.14429,8.41385,29.14429,8.41385,18.04846,18.04846
163,163,1027,2019,3,3,21.88,-102.46,30.30515,8.86865,30.30515,8.86865,18.67831,18.67831
170,170,1028,2019,3,3,22.1,-102.07,29.21414,8.48636,29.21414,8.48636,18.1181,18.1181
177,177,1029,2019,3,3,22.24,-102.09,29.04657,8.4827,29.04657,8.4827,18.09586,18.09586
184,184,1030,2019,3,3,21.9,-102.31,30.06064,8.74292,30.06064,8.74292,18.5274,18.5274
191,191,1031,2019,3,3,22.02,-102.0,29.15604,8.49625,29.15604,8.49625,18.08981,18.08981
